"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Chine","CHN","China",-0.084524362130613,-0.512863874984512,-0.328557689435547,-0.863522544502326,8.75053586122504,1.04301821429945,-0.164416948863055,-0.505184763991234,-0.424401620305935,-0.144921060660605,0,0.593672152108695,0
"Côte d'Ivoire","CIV","C?te d'Ivoire",-0.816885727010867,-0.58295226252169,-1.11327505434007,1.17646863304941,-0.118410733947048,-0.249351464121552,-0.588251652357913,0.0145455780115117,0.55065730002076,-0.979887690042385,1,-0.275401867862151,0
"Cameroun","CMR","Cameroon",-0.750087404444461,-0.580798345566426,-1.04349067587638,1.20880876584105,-0.117385031223455,-1.3853514105032,-0.635816897427018,2.31957758525268,3.54833004359765,-1.55852687637844,1,-0.222972696038817,0
"Congo, Rép. dém. du","COD","Democratic Republic of the Congo",-0.926539850542968,-0.501126975901138,-1.14193803592015,1.7692296379688,0.273521986458616,-2.15549683124088,-0.686534689313765,6.27485072134681,3.11592387609794,-1.59616651593218,1,0.0277651575377612,0
"Congo","COG","Congo",-0.859713350526759,0.530190892690277,-0.000175699276554428,1.1889609404235,-0.248914083519022,-1.89666437726226,-0.617243322405859,2.74047414253228,0.773723802141179,-0.839797188551823,1,0.0255182562026188,0
"Colombie","COL","Colombia",0.962343419541664,-0.457009362919066,0.8781064028519,0.067911119182812,0.0396027195328015,0.480431057495612,-0.368278147791591,0.230919526481978,-0.564676240119829,-0.896815674995464,0,0.719164895178013,0
"Comores","COM","Comoros",-0.866800493933879,-0.585133120883774,-0.890891237213843,0.85771205085152,-0.277982150757486,-1.24727280838961,-0.64475045036817,0.765023471011982,-0.344355002393786,-0.0342334752247612,1,0.494160798951165,0
"Cap-Vert","CPV","Cabo Verde",-0.830554295085175,0.740646795057949,-0.166111568282297,-0.144142904193447,-0.279913481353665,-0.689222418708572,-0.525729457059135,0.333913542432962,-0.178599304852231,1.08212966940099,0,-0.387713899603113,0
"Costa Rica","CRI","Costa Rica",0.685916626534661,-0.418466006306442,0.36140154583239,-0.302900116449163,-0.251050691990999,0.41647245281587,-0.0247386545986694,0.121867039004465,-0.435983928363963,0.624522186385519,0,0.774250654560482,0
"Chypre","CYP","Cyprus",0.336505279490533,0.116752976698078,0.286157073277695,-0.468271070835306,-0.275750950692122,0.736736596041096,0.409703583848046,-0.277992081746416,-0.564676240119829,0.738560027495845,0,-0.77732809980258,1
"Tchèque (la République)","CZE","Czechia",-0.0352833518880562,0.0244847598480075,0.109479667608491,-0.82722625106193,-0.214957588191205,0.969531308467182,0.379570386919952,-1.08982726630123,-0.822060863631562,1.15803938696694,0,-1.31575737430076,1
"Allemagne","DEU","Germany",0.114167699453426,-0.0242439990736971,-0.171041968332463,-0.983637455204489,0.249793191122382,1.23191779697181,1.63179227119885,-1.08982726630123,-0.822060863631562,0.756943239609014,0,-1.43143510192799,1
"Djibouti","DJI","Djibouti",-0.933033284916122,-0.412310691889258,-1.05546642232378,0.214564545602445,-0.277194961314177,-0.264241965481354,-0.53677090606965,1.46684771789379,-0.307291616608097,-0.247436822270032,1,-0.0903797655599079,0
"Dominique","DMA","Dominica",-0.933033284916122,2.53898462838491,1.22330292766369,-0.95737308221177,-0.28298179135114,-0.260252631809863,-0.285772690331434,1.10468586101414,-0.564676240119829,1.29214674639938,1,0.229809397299106,0
"Danemark","DNK","Denmark",0.598398033409958,0.784556072737145,0.241750020226818,-0.860371411276539,-0.246129484128306,1.66632298286076,2.40196491189474,-1.08982726630123,-0.822060863631562,1.21418921625417,0,-1.27856085652195,1
"Dominicaine (la République)","DOM","Dominican Republic",0.929968349399345,-0.303118327539965,0.978444132660867,-0.220399083725145,-0.214527068094493,-0.303805907672939,-0.264103100556034,0.313718718124154,-0.616153164822176,0.139417753954631,0,0.321403271544959,0
"Algérie","DZA","Algeria",-0.552111323985394,-0.585133120883774,-0.844369598870404,0.604431912762706,-0.00715651693565634,-1.19084199769821,-0.491458102024661,-0.0991998015104502,1.23587230719541,-0.999745036357902,1,-1.19720081409232,0
"Equateur","ECU","Ecuador",0.0790362151621654,-0.585133120883774,-0.176013788252644,0.367577571150203,-0.171949941592288,-0.480259361110193,-0.397330287758316,-0.483980113648385,-0.435983928363963,-0.119164898450202,0,0.890692323439292,0
"Egypte","EGY","Egypt",-0.122947173298019,-0.565020873428654,-0.362888205501569,0.643748164400254,0.360781820095517,-0.298746625833454,-0.499602069041361,0.251922308553564,4.32563160660309,-1.07555067568635,0,-0.709524639554426,0
"Espagne","ESP","Spain",1.01707594450535,-0.361438225641942,0.709564964135719,-0.52612634782526,0.0190376728763248,1.09376210252297,0.807287514504497,-1.08982726630123,-0.822060863631562,0.470839001959868,0,-1.27152543855349,1
"Estonie","EST","Estonia",-0.0835525842868608,0.471579214579998,0.0501408839319538,-0.850906204219777,-0.274927727884033,1.302532039928,0.390739811548494,-1.08982726630123,-0.822060863631562,0.820917929088341,0,-1.06227722420581,1
"Ethiopie","ETH","Ethiopia",-0.894315141705245,-0.584632721179601,-1.19594663118001,1.20464270706387,0.435804703800904,-1.23923495905189,-0.670983570167122,-0.799020633027867,3.03870848904442,-1.28270977947671,0,-0.0937501175626213,0
"Finlande","FIN","Finland",0.485685674655133,-0.412460396463956,-0.0637754452561133,-1.09083855083508,-0.248008583993239,1.26838480767569,1.78372653483729,-1.08982726630123,-0.822060863631562,1.05794325445575,0,-1.04873885030095,1
"Fidji","FJI","Fiji",1.28336080389569,-0.270037628219137,1.21135222965583,-0.515551057407205,-0.27773146378299,-0.187758581810343,-0.396506835580887,-0.314746889786976,-0.526068546593069,0.977647491122761,0,2.77082226164086,0
"Gabon","GAB","Gabon",-0.829272893801654,1.27351575253331,0.823064427500488,1.11572945525835,-0.269500435744701,-1.46903475106014,-0.328983906033521,2.10904569970581,0.0530468563083285,0.0530636387422524,1,-0.131133010058568,0
"Royaume-Uni","GBR","United Kingdom of Great Britain and Northern Ireland",0.670747196612732,0.0844901686220562,0.734926677160556,-0.668887888687126,0.145468835100982,1.53091457890441,1.87121524721821,-1.08982726630123,-0.822060863631562,0.719417879913558,0,-1.45665379915573,0
"Géorgie","GEO","Georgia",-0.599754298727948,0.228956575525347,-0.16052634469319,-1.35274075288097,-0.259569069267896,1.54526231907564,-0.455828735134191,-0.129126712140612,0.150853013242787,-0.396372997197729,0,-0.668391102192605,0
"Ghana","GHA","Ghana",-0.810751352387857,-0.303033153136692,-0.812951361198077,0.816923686063892,-0.0882408671658339,-0.306025232475546,-0.603096160393503,0.249960333134413,1.61794536725966,0.27953267421833,0,-0.290194011671545,0
"Guinée","GIN","Guinea",-0.884492543999504,-0.40947551681015,-1.07554446243949,1.44175460147567,-0.201485178356895,-1.1260813212477,-0.66307969575937,0.869655455324879,0.104523781010675,-0.781498941340009,1,-0.325501420750832,0
"Gambie","GMB","Gambia",-0.885022907293404,0.012092433818276,-0.584761696931924,1.52269632741163,-0.268376643977355,-1.0587547938412,-0.675624576078951,-0.300711349970898,-0.0402550697146745,0.377543660559328,0,-0.425206301877029,0
