"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Belgique et Luxembourg","BEL","Belgium",-0.118278058292587,1.01034318816876,-0.232129885257679,-0.690889683417653,-0.209713915404761,0.864288590196221,0.0093926299150635,-1.08982726630123,-0.822060863631562,0.647838967423414,1,-1.47760970471988,1
"Bénin","BEN","Benin",-0.278902690940834,0.106583441819618,-0.242005355554266,1.3306140763728,-0.207710607921782,-0.894428977062119,-0.235134802662672,0.362051749929632,-0.25581469190575,-0.314201546504124,1,-0.316402224686394,0
"Burkina Faso","BFA","Burkina Faso",-0.268144921086794,-0.414302717406243,-0.273689156089147,1.45087486018513,-0.153033381266148,-0.972599826293568,-0.234716717984003,-0.44884097879452,0.189460706769547,-1.27979472060348,1,-0.483831750234796,0
"Bangladesh","BGD","Bangladesh",-0.188018083553258,-0.414302717406243,-0.18480992341987,-0.23659516200515,0.762880139892411,-1.46720088793377,-0.10930639104324,1.09122248324902,1.08258535035526,-0.878880031861937,0,0.513440762711382,0
"Bulgarie","BGR","Bulgaria",-0.244032678310498,0.0798713310900868,-0.226369194251337,-1.8475670718432,-0.238676776769278,0.629508166104646,-0.213125113424739,-1.08982726630123,-0.822060863631562,0.76188386284598,0,-1.08786869687965,1
"Bahamas","BHS","Bahamas",-0.282241309171398,-0.303002256033196,-0.283153148456708,-0.269628045685877,-0.280943143576113,-0.312926164545966,-0.235980813344747,2.26656595939555,2.00916999499749,1.01950376442191,0,0.329448728629464,0
"Bosnie-Herzégovine","BIH","Bosnia and Herzegovina",-0.258500023976276,-0.365330514402102,-0.268751420940853,-1.83674859341264,-0.262258980805123,0.120891873658368,-0.232980823676865,-0.826889602049898,-0.685647013170343,-0.320806878901792,0,-1.19406040661152,0
"Biélorussie","BLR","Belarus",-0.111229864250285,-0.369782532857024,-0.180695144129626,-1.38083197289685,-0.222992816765056,0.809941608687907,-0.212326608178568,-1.08982726630123,-0.822060863631562,0.494393133472661,0,-1.07148072768346,0
"Belize","BLZ","Belize",-0.276676945453791,-0.414302717406243,-0.287267927746953,0.556668005086052,-0.280937592576908,-0.655333718328003,-0.241414937369509,0.576252403494102,-0.435983928363963,0.202073069989362,0,0.707917902826903,0
"Bolivie","BOL","Bolivia (Plurinational State of)",-0.101214009558593,-0.405398680496399,-0.0877011321701053,0.107272389781855,-0.209559116326357,-0.952699880563532,-0.222918473859709,-0.326459853958644,-0.667630089524522,-0.658688249000438,0,1.06532322239165,0
"Brésil","BRA","Brazil",4.95976027039528,-0.392042625131634,3.78430617994976,-0.494675483612096,1.07093393813063,-0.374325926663825,0.685118453555044,-0.18105653732196,-0.271543981017799,-0.641000917657751,0,0.901437287592112,0
