"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Serbie","SRB","Serbia",0.0149742953262201,0.00244772135140136,0.0161261641974678,-0.536610017822353,6945235,75.65345,6567.90956383791,52,35,-0.0659501,0,1449.718,0
"Sao Tomé-et-Principe","STP","Sao Tome and Principe",0.00465012462333991,0.0139503738700197,0.0139503738700197,1.8851478278935,215048,44.9711,1672.8961550271,406,75,0.51391,0,5432.882,0
"Suriname","SUR","Suriname",0.018921052767376,0.0326818184163767,0.0516028711837527,0.929025561206018,581363,47.46427,9035.19701402727,658,40,0.1014941,0,7196.987,0
"Slovaquie","SVK","Slovakia",0.0130176176036326,0.0190680595884196,0.0148510848717499,0.135328072840865,5454147,75.58542,18167.4836571189,0,0,0.6671577,0,1094.61,1
"Slovénie","SVN","Slovenia",0.0335187237985333,0.0110132949623752,0.0239419455703809,0.696304046333357,2088385,76.51751,24071.2824401949,0,0,0.8074292,0,965.7366,1
"Suède","SWE","Sweden",0.0153713140342918,0.00817209100557288,0.0167333292018873,1.01372226345511,10278887,81.99155,53490.3518198746,0,0,1.039473,0,1545.797,1
"Swaziland","SWZ","Eswatini",0.00522587539945285,0.00174195846648428,0.00696783386593713,1.03826564467004,1148133,59.49273,3833.24681517956,134.4444,75.55556,-0.2745529,0,8846.426,0
"Seychelles","SYC","Seychelles",0.0102432778489117,0.030729833546735,0.0409731113956466,0.887925293341637,97625,61.70497,15913.9497325752,340.625,92.5,0.6827319,1,7855.244,0
"Syrie","SYR","Syrian Arab Republic",0.00714698632676068,0.0013473826681598,0.00802571415382142,0.735380569237513,17070132,41.96812,952.884880732399,827.7778,741.6667,-2.729881,0,3280.692,0
"Tchad","TCD","Chad",0.000438957283310932,0.000125416366660266,0.000376249099980799,2.98613014725798,15946882,36.93568,660.069928788137,965,500,-1.343743,1,4248.435,0
